datetime,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,nowcast_pm2.5,nowcast_pm10,aqi_pm2.5,aqi_pm10,aqi_co,aqi_so2,aqi_no2,aqi_o3,AQI per hour
1/1/2022 0:00,5,3177.64,50.51,57.58,0,30.52,230.46,270.1,20.27,,,,,15.8882,12.208,28.79,0,28.79
1/1/2022 1:00,5,2750.4,45.15,52.78,0.16,38.15,191.57,223.31,21.03,,,,,13.752,15.26,26.39,0.05,26.39
1/1/2022 2:00,5,2349.85,39.79,49.35,0.77,42.92,163.54,188.55,20.52,,,,,11.74925,17.168,24.675,0.240625,24.675
1/1/2022 3:00,5,1949.31,32.63,46.61,3.35,46.73,152.2,174.45,20.52,,,,,9.74655,18.692,23.305,1.046875,23.305
1/1/2022 4:00,5,1268.39,11.73,43.53,20.03,41.48,135.03,151.48,11.65,,,,,6.34195,16.592,21.765,6.259375,21.765
1/1/2022 5:00,5,1001.36,5.25,35.64,43.27,36.72,128.54,141.74,7.16,,,,,5.0068,14.688,17.82,13.521875,17.82
1/1/2022 6:00,5,881.2,3.21,29.13,62.94,33.38,125.17,136.51,5.38,,,,,4.406,13.352,14.565,19.66875,19.66875
1/1/2022 7:00,5,814.44,1.72,25.7,75.82,29.33,118.14,127.84,4.31,,,,,4.0722,11.732,12.85,23.69375,23.69375
1/1/2022 8:00,5,794.41,1.05,24.68,79.39,27.66,113.5,122.13,3.96,,,,,3.97205,11.064,12.34,24.809375,24.809375
1/1/2022 9:00,5,794.41,0.48,25.02,77.96,26.23,112.42,120.46,4.12,,,,,3.97205,10.492,12.51,24.3625,24.3625
1/1/2022 10:00,5,847.82,0.11,27.42,68.66,26.23,112.68,120.49,5.26,,,,,4.2391,10.492,13.71,21.45625,21.45625
1/1/2022 11:00,5,947.95,0,31.87,53.64,26.7,106.07,113.65,7.73,110.1373633,118.1649902,171.5266881,84.08249512,4.73975,10.68,15.935,16.7625,171.5266881
1/1/2022 12:00,5,988.01,0.01,32.22,43.27,25.27,91.53,98.49,10.13,100.8055493,108.2945239,164.8611067,79.14726196,4.94005,10.108,16.11,13.521875,164.8611067
1/1/2022 13:00,5,1001.36,0.01,30.85,38.62,23.84,81.33,87.9,12.16,91.04438965,98.07000244,157.8888497,74.03500122,5.0068,9.536,15.425,12.06875,157.8888497
1/1/2022 14:00,5,1014.71,0.02,30.85,35.76,24.08,78.12,84.96,13.68,140.4891567,91.49198486,193.2065405,70.74599243,5.07355,9.632,15.425,11.175,193.2065405
1/1/2022 15:00,5,1041.41,0.03,31.87,32.9,24.8,78.92,86.33,15.2,127.8633147,141.9066453,184.188082,95.95332263,5.20705,9.92,15.935,10.28125,184.188082
1/1/2022 16:00,5,1068.12,0.05,33.93,28.25,25.99,80.24,88.06,16.09,121.8400785,133.2141046,179.8857704,91.60705231,5.3406,10.396,16.965,8.828125,179.8857704
1/1/2022 17:00,5,1014.71,0.07,33.59,25.39,25.27,77.63,84.92,15.83,117.0779605,126.7033901,176.4842575,88.35169505,5.07355,10.108,16.795,7.934375,176.4842575
1/1/2022 18:00,5,947.95,0.07,31.53,23.96,24.08,76.56,83.4,15.83,111.2115111,119.657665,172.2939365,84.82883252,4.73975,9.632,15.765,7.4875,172.2939365
1/1/2022 19:00,5,894.55,0.1,30.5,21.82,23.6,76.59,83.37,16.47,106.4001558,114.0241668,168.8572542,82.01208342,4.47275,9.44,15.25,6.81875,168.8572542
1/1/2022 20:00,5,881.2,0.17,30.5,18.06,23.84,77.01,84.09,17.99,102.6157177,109.6717483,166.1540841,79.83587417,4.406,9.536,15.25,5.64375,166.1540841
1/1/2022 21:00,5,867.84,0.3,31.19,14.66,24.56,77.42,84.91,19,97.82878801,104.6754107,162.7348486,77.33770536,4.3392,9.824,15.595,4.58125,162.7348486
1/1/2022 22:00,5,867.84,0.51,31.87,11.8,25.27,77.92,85.76,19.51,89.3339795,96.12970704,156.6671282,73.06485352,4.3392,10.108,15.935,3.6875,156.6671282
1/1/2022 23:00,5,921.25,1.42,34.62,6.53,27.66,80.49,89.03,20.77,81.14390182,88.14094336,150.8170727,69.07047168,4.60625,11.064,17.31,2.040625,150.8170727
2/1/2022 0:00,5,1161.58,7.71,37.36,0.98,33.38,89.6,100.12,23.81,79.05640066,86.29307876,148.4273344,68.14653938,5.8079,13.352,18.68,0.30625,148.4273344
2/1/2022 1:00,5,1522.06,20.12,37.36,0.87,40.05,101.19,113.7,25.59,78.71491486,85.96339826,147.8581914,67.98169913,7.6103,16.02,18.68,0.271875,147.8581914
2/1/2022 2:00,5,1668.93,27.05,37.7,4.38,44.82,107.33,120.89,24.57,78.99224285,86.3984894,148.3204047,68.1992447,8.34465,17.928,18.85,1.36875,148.3204047
2/1/2022 3:00,5,1575.47,26.38,38.39,11.44,48.16,109.16,123.31,21.79,79.13647719,86.51716365,148.5607953,68.25858182,7.87735,19.264,19.195,3.575,148.5607953
2/1/2022 4:00,5,1148.22,14.75,33.93,31.83,40.53,97.05,107.93,14.57,78.76944493,85.86568069,147.9490749,67.93284035,5.7411,16.212,16.965,9.946875,147.9490749
2/1/2022 5:00,5,1028.06,10.84,31.19,54.36,38.62,97.25,106.84,11.91,79.37468445,86.41541175,148.9578074,68.20770587,5.1403,15.448,15.595,16.9875,148.9578074
2/1/2022 6:00,5,1001.36,8.49,30.85,77.96,40.53,107.25,116.61,10.01,80.76793591,88.00648507,150.5485257,69.00324253,5.0068,16.212,15.425,24.3625,150.5485257
2/1/2022 7:00,5,947.95,5.53,28.79,101.57,37.67,112.35,120.53,7.85,82.28740518,90.58538148,151.6338608,70.29269074,4.73975,15.068,14.395,31.740625,151.6338608
2/1/2022 8:00,5,974.66,4.25,34.27,108.72,41.01,117.46,125.29,7.85,84.06996796,93.65215698,152.90712,71.82607849,4.8733,16.404,17.135,33.975,152.90712
2/1/2022 9:00,5,1094.82,3.16,47.3,101.57,50.07,126.27,134.45,9.12,86.32986505,96.5276792,154.5213322,73.2638396,5.4741,20.028,23.65,31.740625,154.5213322
2/1/2022 10:00,5,2830.51,13.41,108.3,26.82,64.85,177.75,193.14,29.64,148.5744263,160.4329663,198.981733,105.2164832,14.15255,25.94,54.15,8.38125,198.981733
2/1/2022 11:00,5,5714.42,78.68,130.24,0.1,95.37,264.15,291.65,67.89,206.3523877,226.0306152,256.3523877,138.0153076,28.5721,38.148,65.12,0.03125,256.3523877
2/1/2022 12:00,5,8010.86,141.26,141.2,0,135.42,353.99,394.53,118.55,280.1602563,310.2680859,330.1602563,180.134043,40.0543,52.31555556,70.6,0,330.1602563
